City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
338,Cap Malheureux,MU,81.09,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
342,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
345,Tucurui,BR,84.81,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
347,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
354,Wamba,NG,76.93,clear sky,8.9333,8.6,Roma Zee Guest House Annex
355,Santiago Del Estero,AR,79.92,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
359,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
361,Santa Cruz,BO,87.26,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
363,Port Blair,IN,78.04,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
379,Kisangani,CD,75.02,light rain,0.5167,25.2,Grand Ramela Hotel
381,Sambava,MG,79.21,light rain,-14.2667,50.1667,Melrose
383,Karratha,AU,83.88,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
389,Kuzhithurai,IN,78.48,clear sky,8.3167,77.1833,Hotel Prasanthi
395,Saint-Pierre,RE,80.28,broken clouds,-21.3393,55.4781,Lindsey Hôtel
402,Hualmay,PE,75.56,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
411,Buchanan,LR,82.36,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
412,Imbituba,BR,82.29,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
418,Rio Branco,BR,88.41,scattered clouds,-9.9747,-67.81,Inácio Palace Hotel
421,Mogadishu,SO,77.4,clear sky,2.0371,45.3438,Hotel Juba
425,San Rafael,AR,78.82,clear sky,-34.6177,-68.3301,Hotel San Rafael
430,Port Keats,AU,79.66,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
431,Lekoni,GA,76.14,moderate rain,-1.5843,14.2591,Rendez-vous Des ChasseursD
432,Bossangoa,CF,79.83,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
441,Lorengau,PG,80.01,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
445,Acarau,BR,83.26,overcast clouds,-2.8856,-40.12,castelo pizzaria
446,Kongoussi,BF,76.91,clear sky,13.3258,-1.5347,Hôtel La Sagesse
462,Pitimbu,BR,86.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
465,Dzaoudzi,YT,84.09,few clouds,-12.7887,45.2699,Le Rocher
470,Salta,AR,82.99,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
473,Muttupet,IN,75.78,few clouds,10.4,79.4833,Hotel Star Residency
474,Itaituba,BR,89.76,few clouds,-4.2761,-55.9836,Hotel Campos
475,Guarapari,BR,80.49,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
481,Namatanai,PG,79.97,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
483,Monrovia,LR,82.17,few clouds,6.3005,-10.7969,Sunset Inn
