City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
147,Vieste,IT,2022-02-01 21:10:48,41.8825,16.175,47.77,50,5,27.87
148,Tura,IN,2022-02-01 21:10:48,25.5198,90.2201,51.93,78,2,4.16
149,Carnarvon,AU,2022-02-01 21:10:49,-24.8667,113.6333,73.47,88,40,8.05
150,Alta Floresta,BR,2022-02-01 21:10:49,-9.8756,-56.0861,76.86,85,95,2.71
151,Berlevag,NO,2022-02-01 21:10:50,70.8578,29.0864,21.2,67,0,8.05
152,Banjar,ID,2022-02-01 21:10:51,-8.19,114.9675,78.66,88,93,2.13
153,Honningsvag,NO,2022-02-01 21:10:51,70.9821,25.9704,22.75,63,75,19.57
154,Airai,TL,2022-02-01 21:07:59,-8.9266,125.4092,59.23,83,80,2.98
155,Quatre Cocos,MU,2022-02-01 21:10:52,-20.2078,57.7625,78.1,92,100,30.04
156,Hobyo,SO,2022-02-01 21:10:53,5.3505,48.5268,77.79,83,100,18.03
157,Cabo San Lucas,MX,2022-02-01 21:10:53,22.8909,-109.9124,76.6,51,0,5.99
158,Manado,ID,2022-02-01 21:10:54,1.487,124.8455,75.97,94,40,2.3
159,Port Elizabeth,ZA,2022-02-01 21:10:55,-33.918,25.5701,77.09,76,100,3.62
160,Akdepe,TM,2022-02-01 21:10:55,42.0551,59.3788,30.2,74,74,6.11
161,Dakar,SN,2022-02-01 21:09:29,14.6937,-17.4441,79.68,64,34,18.16
162,Kuryk,KZ,2022-02-01 21:10:56,43.2,51.65,41.45,66,0,6.4
163,Terrell,US,2022-02-01 21:09:13,32.736,-96.2753,73.42,62,86,10.63
164,Alamosa,US,2022-02-01 21:10:58,37.4695,-105.87,37.38,41,100,9.22
165,Tessalit,ML,2022-02-01 21:10:59,20.1986,1.0114,68.65,16,100,12.06
166,Nobres,BR,2022-02-01 21:11:00,-14.7203,-56.3275,76.96,90,80,5.61
167,Umm Lajj,SA,2022-02-01 21:11:00,25.0213,37.2685,66.79,35,0,10.67
168,Thinadhoo,MV,2022-02-01 21:06:09,0.5333,72.9333,83.01,71,57,12.62
169,Iqaluit,CA,2022-02-01 21:11:01,63.7506,-68.5145,-14.31,75,75,8.99
170,Qui Nhon,VN,2022-02-01 21:11:02,13.7667,109.2333,71.96,87,100,7.43
171,Naze,JP,2022-02-01 21:11:03,28.3667,129.4833,55.6,72,100,10.87
172,Mount Gambier,AU,2022-02-01 21:11:03,-37.8333,140.7667,55.99,54,50,7.18
173,Jacksonville,US,2022-02-01 21:08:12,30.3322,-81.6556,71.82,50,40,1.01
174,Srednekolymsk,RU,2022-02-01 21:11:04,67.45,153.6833,-18.51,97,96,4.47
175,Zaraza,VE,2022-02-01 21:11:05,9.3503,-65.3245,88.29,43,74,8.28
176,Tanout,NE,2022-02-01 21:08:10,14.9709,8.8879,58.84,15,1,9.17
177,Gotsu,JP,2022-02-01 21:11:06,35.0,132.2167,37.74,65,30,8.1
178,Kahului,US,2022-02-01 21:07:26,20.8947,-156.47,80.62,67,75,14.97
179,Qaqortoq,GL,2022-02-01 21:11:07,60.7167,-46.0333,19.9,95,20,3.09
180,Nanakuli,US,2022-02-01 21:11:08,21.3906,-158.1547,80.55,58,0,11.5
181,Gat,IL,2022-02-01 21:09:03,31.61,34.7642,53.4,100,0,4.59
182,Salalah,OM,2022-02-01 21:11:09,17.0151,54.0924,68.09,52,0,5.75
183,Cherdyn,RU,2022-02-01 21:11:09,60.403,56.4787,26.74,95,100,9.55
184,Businga,CD,2022-02-01 21:12:10,3.3333,20.8833,78.62,27,80,2.55
185,Danbury,US,2022-02-01 21:11:35,41.3948,-73.454,36.12,62,75,1.01
186,Te Anau,NZ,2022-02-01 21:12:11,-45.4167,167.7167,66.49,95,95,4.29
187,Severo-Kurilsk,RU,2022-02-01 21:12:12,50.6789,156.125,26.85,79,78,10.54
188,Saint George,US,2022-02-01 21:11:01,37.1041,-113.5841,54.07,23,0,1.01
189,Vardo,NO,2022-02-01 21:12:13,70.3705,31.1107,19.38,93,20,8.05
190,Lora Del Rio,ES,2022-02-01 21:12:13,37.659,-5.5275,56.05,61,0,5.17
191,Belyy Yar,RU,2022-02-01 21:12:14,53.6039,91.3903,-14.91,76,100,2.24
192,Ransang,PH,2022-02-01 21:12:15,8.9603,117.5828,77.16,84,100,3.49
193,Dolores,AR,2022-02-01 21:12:16,-36.3132,-57.6792,85.75,22,2,8.39
194,Talcahuano,CL,2022-02-01 21:10:15,-36.7167,-73.1167,64.08,72,0,13.8
195,Moron,AR,2022-02-01 21:12:17,-34.6534,-58.6198,86.95,50,2,6.96
196,Sundsvall,SE,2022-02-01 21:12:17,62.3913,17.3063,8.56,85,0,9.22
197,Sabha,LY,2022-02-01 21:12:18,27.0377,14.4283,54.79,20,12,11.34
198,Kirakira,SB,2022-02-01 21:12:19,-10.4544,161.9205,81.25,81,79,3.58
199,Ndele,CF,2022-02-01 21:12:19,8.4109,20.6473,73.76,19,92,3.85
200,Lima,PE,2022-02-01 21:07:27,-12.0432,-77.0282,76.14,61,0,17.27
201,Savannah Bight,HN,2022-02-01 21:12:21,16.45,-85.85,80.01,73,0,18.12
202,Huron,US,2022-02-01 21:08:09,41.1501,-82.5499,47.64,76,100,16.22
203,Araure,VE,2022-02-01 21:12:23,9.5601,-69.2148,90.95,25,47,2.01
204,Ust-Kuyga,RU,2022-02-01 21:12:24,70.0167,135.6,-14.19,92,100,3.47
205,Sao Miguel Do Araguaia,BR,2022-02-01 21:12:24,-13.275,-50.1628,78.94,86,35,3.11
206,Whitianga,NZ,2022-02-01 21:12:25,-36.8333,175.7,69.39,85,100,12.64
207,Lebu,CL,2022-02-01 21:12:25,-37.6167,-73.65,64.31,76,0,12.35
208,Ahipara,NZ,2022-02-01 21:10:01,-35.1667,173.1667,71.92,78,100,15.5
209,Perbaungan,ID,2022-02-01 21:12:27,3.5679,98.956,78.17,91,86,4.16
210,Carutapera,BR,2022-02-01 21:12:27,-1.195,-46.02,78.71,86,90,9.33
211,Kutum,SD,2022-02-01 21:12:28,14.2,24.6667,58.69,22,5,6.64
212,Shimoda,JP,2022-02-01 21:09:28,34.6667,138.95,37.11,61,1,14.67
213,Belaya Gora,RU,2022-02-01 21:12:29,68.5333,146.4167,-15.83,96,100,4.7
214,Hambantota,LK,2022-02-01 21:12:29,6.1241,81.1185,72.45,82,1,13.09
215,Vila,PT,2022-02-01 21:12:30,42.0304,-8.1588,47.28,72,0,5.14
216,Shelburne,CA,2022-02-01 21:09:46,44.0787,-80.2041,36.23,61,100,19.15
217,Saldanha,ZA,2022-02-01 21:12:31,-33.0117,17.9442,65.03,97,30,11.14
218,Zonguldak,TR,2022-02-01 21:12:32,41.25,31.8333,32.67,86,87,6.78
219,Rincon,US,2022-02-01 21:10:35,32.296,-81.2354,68.18,56,20,1.01
220,Arshan,RU,2022-02-01 21:12:33,46.2732,44.22,34.18,86,100,8.95
221,Itarema,BR,2022-02-01 21:12:34,-2.9248,-39.9167,80.71,76,100,14.97
222,Bahia De Caraquez,EC,2022-02-01 21:12:35,-0.6,-80.4167,77.18,72,57,10.09
223,Arman,RU,2022-02-01 21:12:36,59.7,150.1667,-1.5,80,37,11.83
224,Kruisfontein,ZA,2022-02-01 21:12:36,-34.0033,24.7314,74.88,68,100,4.94
225,Gamba,GA,2022-02-01 21:12:37,-2.65,10.0,78.21,87,42,4.76
226,Geraldton,AU,2022-02-01 21:12:38,-28.7667,114.6,84.61,26,41,25.32
227,Malindi,KE,2022-02-01 21:13:38,-3.2175,40.1191,77.2,90,92,9.17
228,Sorland,NO,2022-02-01 21:13:39,67.667,12.6934,26.67,57,100,19.73
229,Awjilah,LY,2022-02-01 21:09:25,29.1081,21.2869,57.88,34,75,12.86
230,Cap Malheureux,MU,2022-02-01 21:13:40,-19.9842,57.6142,78.48,89,100,15.99
231,Sedro-Woolley,US,2022-02-01 21:13:40,48.5039,-122.2361,44.56,83,100,9.22
232,Narsaq,GL,2022-02-01 21:13:41,60.9167,-46.05,19.62,86,63,3.49
233,Makakilo City,US,2022-02-01 21:13:41,21.3469,-158.0858,79.12,54,0,11.5
234,Ilulissat,GL,2022-02-01 21:13:42,69.2167,-51.1,1.42,51,75,3.44
235,Padre Paraiso,BR,2022-02-01 21:13:43,-17.0742,-41.4844,73.17,88,100,2.01
236,Evora,PT,2022-02-01 21:12:19,38.5667,-7.9,47.93,53,0,5.48
237,Sakakah,SA,2022-02-01 21:13:43,29.9697,40.2064,48.47,47,0,7.7
238,Carbonear,CA,2022-02-01 21:13:44,47.7332,-53.2148,26.26,53,83,14.54
239,Ancud,CL,2022-02-01 21:13:44,-41.8697,-73.8203,66.22,81,100,8.57
240,Port Lincoln,AU,2022-02-01 21:13:45,-34.7333,135.8667,60.91,55,68,17.13
241,Cedar City,US,2022-02-01 21:13:46,37.6775,-113.0619,33.4,34,40,16.11
242,Le Port,RE,2022-02-01 21:13:46,-20.9373,55.2919,82.36,82,99,6.24
243,Ketchikan,US,2022-02-01 21:13:47,55.3422,-131.6461,34.27,69,20,4.61
244,Sao Joao Da Barra,BR,2022-02-01 21:13:47,-21.6403,-41.0511,80.69,86,93,5.66
245,Hamilton,US,2022-02-01 21:11:27,39.1834,-84.5333,61.65,38,0,10.36
246,Atlantic City,US,2022-02-01 21:12:08,39.3643,-74.4229,40.01,74,0,10.36
247,Atar,MR,2022-02-01 21:13:49,20.5169,-13.0499,77.92,13,70,8.81
248,Hualmay,PE,2022-02-01 21:13:49,-11.0964,-77.6139,74.79,72,37,10.94
249,Sebezh,RU,2022-02-01 21:13:50,56.2955,28.4654,20.71,96,100,4.94
250,Bilibino,RU,2022-02-01 21:13:50,68.0546,166.4372,5.76,65,100,6.17
251,Viedma,AR,2022-02-01 21:13:51,-40.8135,-62.9967,82.78,26,16,7.29
252,Nanortalik,GL,2022-02-01 21:13:52,60.1432,-45.2371,8.8,77,10,11.61
253,Yar-Sale,RU,2022-02-01 21:13:52,66.8333,70.8333,-15.92,99,70,6.93
254,Povenets,RU,2022-02-01 21:13:53,62.8487,34.8262,11.23,95,100,5.41
255,Basco,PH,2022-02-01 21:13:54,20.4487,121.9702,73.71,75,96,17.09
256,Xacmaz,AZ,2022-02-01 21:13:54,41.4635,48.806,37.8,82,4,2.71
257,Pekin,CN,2022-02-01 21:10:54,39.9075,116.3972,12.09,27,0,3.18
258,Kabakovo,RU,2022-02-01 21:13:55,54.5369,56.1517,30.49,86,100,17.9
259,Vanimo,PG,2022-02-01 21:13:56,-2.6741,141.3028,76.53,86,100,5.75
260,Berbera,SO,2022-02-01 21:13:57,10.4396,45.0143,77.25,81,44,5.64
261,Carmen,MX,2022-02-01 21:10:07,18.6333,-91.8333,84.24,58,0,11.5
262,General Jose Eduvigis Diaz,PY,2022-02-01 21:13:58,-27.1667,-58.4167,104.05,12,1,4.9
263,Vestmannaeyjar,IS,2022-02-01 21:13:58,63.4427,-20.2734,35.35,80,100,12.64
264,Montpellier,FR,2022-02-01 21:10:05,43.6109,3.8772,49.66,61,0,5.01
265,Yabrud,SY,2022-02-01 21:14:00,33.9674,36.6574,35.26,77,67,5.64
266,Husavik,IS,2022-02-01 21:14:01,66.0449,-17.3389,10.78,82,33,13.98
267,Half Moon Bay,US,2022-02-01 21:09:45,37.4636,-122.4286,62.82,33,0,4.0
268,Pathein,MM,2022-02-01 21:14:01,16.7833,94.7333,61.77,69,9,5.03
269,Progreso,MX,2022-02-01 21:14:02,21.2833,-89.6667,86.11,54,10,11.59
270,Jumla,NP,2022-02-01 21:14:03,29.2747,82.1838,32.02,42,0,4.59
271,Benin,BJ,2022-02-01 21:14:04,9.5,2.25,75.87,13,0,6.31
272,Toamasina,MG,2022-02-01 21:14:04,-18.1667,49.3833,75.72,86,100,12.26
273,Kungurtug,RU,2022-02-01 21:15:05,50.5994,97.5228,-19.44,99,69,1.63
274,Trinidad,BO,2022-02-01 21:15:05,-14.8333,-64.9,80.58,83,75,3.44
275,Port Hardy,CA,2022-02-01 21:15:06,50.6996,-127.4199,42.98,75,100,5.75
276,Port Moresby,PG,2022-02-01 21:15:07,-9.4431,147.1797,76.33,82,100,6.46
277,Bundaberg,AU,2022-02-01 21:15:07,-24.85,152.35,83.21,85,75,1.99
278,Broken Hill,AU,2022-02-01 21:15:08,-31.95,141.4333,58.71,56,100,23.44
279,College,US,2022-02-01 21:15:09,64.8569,-147.8028,-0.74,74,20,0.0
280,Grand Gaube,MU,2022-02-01 21:15:10,-20.0064,57.6608,79.2,89,100,13.0
281,Marawi,PH,2022-02-01 21:15:10,7.9986,124.2928,63.64,94,100,1.3
282,Shibetsu,JP,2022-02-01 21:15:11,43.659,145.132,19.89,83,25,11.1
283,Cayenne,GF,2022-02-01 21:15:12,4.9333,-52.3333,73.44,92,75,8.05
284,Sapa,PH,2022-02-01 21:15:12,5.1544,120.3241,79.36,81,91,4.65
285,Tra Vinh,VN,2022-02-01 21:15:13,9.9347,106.3453,76.62,77,14,11.72
286,Kamaishi,JP,2022-02-01 21:15:13,39.2667,141.8833,30.54,69,51,6.11
287,Itoman,JP,2022-02-01 21:15:14,26.1247,127.6694,63.37,94,75,8.05
288,Lompoc,US,2022-02-01 21:13:47,34.6391,-120.4579,68.68,25,0,13.8
289,Loknya,RU,2022-02-01 21:15:15,56.83,30.1467,19.94,94,99,5.57
290,Quimper,FR,2022-02-01 21:15:16,48.0,-4.1,49.03,100,100,5.75
291,Codrington,AU,2022-02-01 21:15:16,-38.2667,141.9667,57.72,53,54,12.62
292,Arlit,NE,2022-02-01 21:15:17,18.7369,7.3853,64.71,11,3,8.14
293,Lahaina,US,2022-02-01 21:15:18,20.8783,-156.6825,80.6,68,3,7.0
294,Kudahuvadhoo,MV,2022-02-01 21:15:18,2.6708,72.8944,82.71,77,17,15.35
